Study Jamz,Academic,11/24/2025 5:00:00,11/24/2025 8:00:00,,Zharia Hunter,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
From NSBE to Industry Panel,PD,11/26/2025 5:30:00,11/26/2025 6:30:00,,Nnenna Brown,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Study Jamz,Academic,12/1/2025 5:00:00,12/1/2025 8:00:00,,Zharia Hunter,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
6th GBM w Aptiv,GBM,12/5/2025 0:00:00,,Trotter Basement,Mikko Hendricks,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
FRC Pre-departure meeting,Conference,10/28/2025 7:30:00,10/28/2025 8:30:00,1014 DOW Building,Toluni Ghandi-Olaoye,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Winter Corporate Mixer,PD,1/31/2026 1:00:00,1/31/2026 4:00:00,,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Give What You Can,Community Service,11/13/2025 0:00:00,11/21/2025 0:00:00,,Gianna Williams,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Friendsgiving,Social,11/20/2025 5:30:00,11/20/2025 7:30:00,,Gianna Williams,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
,,,,,,,,FALSE
